goos: linux
goarch: amd64
pkg: github.com/xtls/xray-core/transport/internet/splithttp
cpu: AMD EPYC 9354P 32-Core Processor               
2026/03/16 02:25:30.992406 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 02:25:30.992410 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 02:25:30.992414 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 02:25:30.992418 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 02:25:30.992422 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 02:25:30.992426 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 02:25:30.992430 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 02:25:30.992433 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
2026/03/16 02:25:30.997129 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 02:25:30.997175 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 02:25:30.997180 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 02:25:30.997183 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 02:25:30.997187 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 02:25:30.997191 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 02:25:30.997194 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 02:25:30.997197 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 02:25:30.997201 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 02:25:30.997205 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 02:25:30.997209 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 02:25:30.997231 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 02:25:30.997235 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 02:25:30.997238 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 02:25:30.997242 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 02:25:30.997245 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
2026/03/16 02:25:31.464988 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 0
2026/03/16 02:25:31.465047 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 1
2026/03/16 02:25:31.465054 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 2
2026/03/16 02:25:31.465059 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 3
2026/03/16 02:25:31.465063 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 4
2026/03/16 02:25:31.465065 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 5
2026/03/16 02:25:31.465068 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 6
2026/03/16 02:25:31.465071 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 7
2026/03/16 02:25:31.465073 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 8
2026/03/16 02:25:31.465076 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 9
2026/03/16 02:25:31.465079 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 10
2026/03/16 02:25:31.465081 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 11
2026/03/16 02:25:31.465084 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 12
2026/03/16 02:25:31.465086 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 13
2026/03/16 02:25:31.465089 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 14
2026/03/16 02:25:31.465092 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 16, xmuxClients = 15
513952635	         5.770 ns/op	       0 B/op	       0 allocs/op
2026/03/16 02:25:34.431744 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 0
BenchmarkXmuxManagerGetXmuxClientWarmPoolNonPowerOfTwo-3                	2026/03/16 02:25:34.431978 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 1
2026/03/16 02:25:34.432168 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 2
2026/03/16 02:25:34.432173 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 3
2026/03/16 02:25:34.432176 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 4
2026/03/16 02:25:34.432179 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 5
2026/03/16 02:25:34.432183 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 6
2026/03/16 02:25:34.432186 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 7
2026/03/16 02:25:34.432189 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 8
2026/03/16 02:25:34.432220 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 9
2026/03/16 02:25:34.432224 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 10
2026/03/16 02:25:34.432227 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 11
2026/03/16 02:25:34.432769 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 0
2026/03/16 02:25:34.433165 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 1
2026/03/16 02:25:34.433209 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 2
2026/03/16 02:25:34.433315 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 3
2026/03/16 02:25:34.433321 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 4
2026/03/16 02:25:34.433325 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 5
2026/03/16 02:25:34.433329 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 6
2026/03/16 02:25:34.433333 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 7
2026/03/16 02:25:34.433337 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 8
2026/03/16 02:25:34.433341 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 9
2026/03/16 02:25:34.433348 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 10
2026/03/16 02:25:34.433352 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 11
2026/03/16 02:25:34.434469 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 0
2026/03/16 02:25:34.434521 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 1
2026/03/16 02:25:34.434526 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 2
2026/03/16 02:25:34.434531 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 3
2026/03/16 02:25:34.434534 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 4
2026/03/16 02:25:34.434538 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 5
2026/03/16 02:25:34.434542 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 6
2026/03/16 02:25:34.434546 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 7
2026/03/16 02:25:34.434550 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 8
2026/03/16 02:25:34.434554 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 9
2026/03/16 02:25:34.434558 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 10
2026/03/16 02:25:34.434562 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 11
2026/03/16 02:25:34.438233 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 0
2026/03/16 02:25:34.438302 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 1
2026/03/16 02:25:34.438307 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 2
2026/03/16 02:25:34.438311 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 3
2026/03/16 02:25:34.438330 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 4
2026/03/16 02:25:34.438334 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 5
2026/03/16 02:25:34.438338 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 6
2026/03/16 02:25:34.438341 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 7
2026/03/16 02:25:34.438352 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 8
2026/03/16 02:25:34.438355 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 9
2026/03/16 02:25:34.438359 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 10
2026/03/16 02:25:34.438363 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 11
2026/03/16 02:25:34.443187 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 0
2026/03/16 02:25:34.443241 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 1
2026/03/16 02:25:34.443246 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 2
2026/03/16 02:25:34.443250 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 3
2026/03/16 02:25:34.443254 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 4
2026/03/16 02:25:34.443258 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 5
2026/03/16 02:25:34.443261 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 6
2026/03/16 02:25:34.443265 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 7
2026/03/16 02:25:34.443269 [Debug] transport/internet/splithttp: XMUX: creating warm xmuxClient, warm target = 12, xmuxClients = 8
